miete,miete_delta,groesse,days_to_freiab,days_to_rent,polarity_de,popular_area,new_user,möbliert,unmöbliert,bitte,leider,Skype,besichtigung,xx,:\),scam
475.0,4.6471600688468016,17.0,18,722,0.2333333333333333,1,0,1,0,0,1,0,0,0,0,0.0
250.0,-220.3528399311532,20.0,9,92,0.38571428571428573,1,0,0,0,1,0,0,0,0,0,0.0
560.0,89.6471600688468,10.0,53,687,0.4,1,0,0,0,0,0,0,0,0,0,0.0
600.0,129.6471600688468,25.0,84,656,0.6,1,0,0,0,0,0,0,0,0,0,0.0
650.0,179.6471600688468,15.0,101,639,0.625,1,0,1,0,0,0,0,0,1,0,0.0
600.0,129.6471600688468,25.0,101,639,0.68,1,0,0,0,0,0,0,0,0,0,0.0
560.0,89.6471600688468,25.0,53,687,0.6166666666666667,1,0,0,0,0,0,0,0,0,0,0.0
550.0,79.6471600688468,10.0,53,687,0.7,1,0,0,0,0,0,0,0,0,0,0.0
450.0,-20.3528399311532,10.0,101,639,0.875,1,0,0,0,1,0,0,0,0,0,0.0
500.0,29.6471600688468,10.0,53,687,0.34545454545454546,1,0,0,0,0,0,0,0,0,0,0.0
599.0,128.6471600688468,25.0,162,242,0.36590909090909085,1,0,0,0,1,0,0,0,0,0,0.0
650.0,179.6471600688468,10.0,101,639,0.37555555555555553,1,0,0,0,1,0,0,0,0,0,0.0
600.0,129.6471600688468,25.0,162,578,0.5,1,0,0,0,1,0,0,0,0,0,0.0
450.0,-20.3528399311532,10.0,101,639,1.0,1,0,0,0,1,0,0,0,0,0,0.0
415.0,-55.3528399311532,15.0,10,731,0.4138888888888889,1,1,1,1,0,0,0,0,0,0,0.0
600.0,129.6471600688468,12.0,11,730,0.39999999999999997,1,1,0,0,0,0,0,0,0,0,0.0
460.0,-10.352839931153198,18.0,40,701,0.42187500000000006,1,0,0,0,1,1,0,0,0,0,0.0
450.0,13.913513513513522,15.0,40,701,0.2298076923076923,0,0,1,0,0,1,0,0,0,0,0.0
420.0,-50.3528399311532,17.0,102,639,0.5,1,0,1,1,0,0,0,0,0,0,0.0
620.0,149.6471600688468,16.0,10,122,0.08333333333333333,1,0,0,0,0,0,0,0,0,0,0.0
450.0,13.913513513513522,26.0,10,153,0.32241379310344825,0,1,1,0,0,1,0,0,0,0,0.0
399.0,-71.3528399311532,21.0,40,701,0.36666666666666664,1,1,0,0,0,1,0,0,0,0,0.0
450.0,13.913513513513522,17.0,10,731,0.5666666666666667,0,0,0,0,0,0,0,0,0,1,0.0
800.0,363.9135135135135,46.0,36,777,0.13333333333333333,0,0,0,0,0,0,0,0,0,0,0.0
600.0,129.6471600688468,43.0,10,731,0.7,1,0,0,0,0,0,0,0,0,0,0.0
350.0,-120.3528399311532,18.0,34,97,0.61,1,0,0,0,0,0,0,0,0,0,0.0
450.0,-20.3528399311532,20.0,11,90,0.48666666666666664,1,0,1,0,1,0,0,0,0,1,0.0
690.0,219.6471600688468,15.0,1,114,0.2653846153846154,1,0,0,0,0,0,0,0,0,0,0.0
340.0,-130.3528399311532,12.0,10,731,0.23750000000000002,1,0,0,0,0,0,0,0,0,0,0.0
550.0,79.6471600688468,20.0,10,731,0.555,1,0,0,0,0,0,0,0,0,0,0.0
370.0,-100.3528399311532,20.0,10,731,0.13999999999999999,1,1,1,0,0,0,0,0,0,0,0.0
450.0,13.913513513513522,15.0,10,731,0.65625,0,0,0,0,0,0,0,0,0,0,0.0
340.0,-96.08648648648648,15.0,40,701,0.325,0,1,0,0,1,0,0,0,0,0,0.0
550.0,79.6471600688468,19.0,13,151,0.0,1,0,0,0,1,0,0,0,0,0,0.0
392.0,-78.3528399311532,17.0,10,731,0.34305555555555556,1,0,1,1,1,0,0,0,0,0,0.0
380.0,-56.08648648648648,13.0,24,717,0.4555555555555555,0,0,0,0,1,1,0,0,0,1,0.0
230.0,-240.3528399311532,17.0,10,731,0.34285714285714286,1,0,1,0,0,0,0,0,0,0,0.0
360.0,-110.3528399311532,20.0,40,701,0.24499999999999997,1,0,1,1,0,0,0,0,0,0,0.0
450.0,-20.3528399311532,11.0,10,91,0.4523809523809524,1,0,1,0,0,1,0,0,0,0,0.0
590.0,153.91351351351352,24.0,71,670,0.0,0,0,0,0,0,0,0,0,0,0,0.0
490.0,19.6471600688468,20.0,10,122,0.6866666666666665,1,0,1,0,1,0,0,0,0,0,0.0
400.0,-70.3528399311532,17.0,29,712,0.2096969696969697,1,1,1,0,0,0,0,0,0,0,0.0
420.0,-50.3528399311532,13.0,10,731,0.39999999999999997,1,0,1,0,0,1,0,0,0,0,0.0
500.0,29.6471600688468,22.0,10,214,0.2696969696969697,1,1,0,0,0,0,0,0,0,1,0.0
425.0,-11.086486486486478,15.0,71,184,0.46184210526315783,0,0,1,0,1,0,0,0,0,1,0.0
600.0,129.6471600688468,20.0,10,731,0.6012500000000001,1,0,1,0,1,0,0,0,0,0,0.0
440.0,3.9135135135135215,18.0,10,731,0.19999999999999998,0,0,0,0,0,0,0,0,0,0,0.0
500.0,63.91351351351352,30.0,14,148,0.18070175438596492,0,0,1,0,0,0,0,0,0,0,0.0
350.0,-86.08648648648648,26.0,40,365,0.2583333333333333,0,0,1,0,0,1,0,0,0,0,0.0
300.0,-170.3528399311532,10.0,30,102,0.28285714285714286,1,0,0,0,1,1,0,0,0,0,0.0
598.0,127.6471600688468,15.0,2,130,0.2410569105691057,1,0,0,0,1,0,0,0,0,0,0.0
420.0,-16.08648648648648,12.0,10,122,0.22121212121212122,0,0,0,0,1,0,0,0,0,0,0.0
450.0,13.913513513513522,16.0,40,701,0.15192307692307694,0,0,0,0,1,1,0,0,0,0,0.0
450.0,13.913513513513522,15.0,10,93,0.26666666666666666,0,0,0,0,0,0,0,0,0,1,0.0
385.0,-85.3528399311532,14.0,12,180,0.0875,1,0,0,0,0,0,0,0,0,1,0.0
350.0,-120.3528399311532,16.0,10,121,0.35,1,1,0,0,0,0,0,0,0,0,0.0
735.0,264.6471600688468,20.0,10,731,0.16538461538461538,1,0,1,0,0,1,0,0,0,0,0.0
480.0,43.91351351351352,20.0,10,122,0.2814814814814815,0,0,0,0,0,0,0,0,0,0,0.0
680.0,209.6471600688468,18.0,3,98,0.0,1,0,1,0,0,0,0,0,0,0,0.0
350.0,-120.3528399311532,17.0,71,670,0.25,1,0,1,1,0,0,0,0,0,0,0.0
545.0,74.6471600688468,22.0,10,731,0.255,1,0,0,0,1,0,0,1,0,0,0.0
600.0,163.91351351351352,27.0,10,364,0.2125,0,0,1,0,0,0,0,0,0,0,0.0
250.0,-186.08648648648648,13.0,71,92,0.2901960784313725,0,0,1,0,0,1,1,0,0,0,0.0
420.0,-50.3528399311532,11.0,40,92,0.20000000000000004,1,0,0,0,0,1,0,0,0,0,0.0
370.0,-66.08648648648648,12.0,102,639,0.15625,0,0,0,0,0,0,0,0,0,1,0.0
295.0,-175.3528399311532,15.0,10,183,1.0,1,0,1,0,1,0,0,0,0,0,0.0
430.0,-6.0864864864864785,16.0,10,731,0.25952380952380955,0,0,1,0,1,1,0,0,0,1,0.0
259.0,-177.08648648648648,13.0,10,731,0.625,0,0,0,0,0,0,0,0,0,0,0.0
395.0,-75.3528399311532,18.0,10,731,0.4833333333333333,1,0,1,0,1,0,0,0,0,0,0.0
426.0,-44.3528399311532,17.0,12,729,0.2,1,0,1,0,0,0,0,0,0,0,0.0
295.0,-175.3528399311532,27.0,26,715,0.1246153846153846,1,0,1,0,0,1,0,0,0,0,0.0
380.0,-56.08648648648648,18.0,40,701,0.14166666666666666,0,0,0,0,1,0,0,0,0,0,0.0
450.0,13.913513513513522,26.0,1,742,0.3,0,0,0,0,0,0,0,0,0,0,0.0
450.0,-20.3528399311532,27.0,10,731,0.0875,1,0,0,0,0,0,0,0,1,0,0.0
450.0,-20.3528399311532,12.0,68,155,0.41999999999999993,1,0,0,0,0,1,0,1,0,0,0.0
590.0,119.6471600688468,20.0,10,363,0.175,1,0,1,0,0,0,0,0,0,0,0.0
447.0,-23.3528399311532,15.0,10,731,0.29999999999999993,1,1,1,1,0,0,0,0,0,0,0.0
380.0,-56.08648648648648,17.0,16,297,0.16666666666666666,0,0,1,0,1,0,0,0,0,0,0.0
350.0,-120.3528399311532,11.0,1,740,0.09090909090909091,1,0,0,0,0,0,0,0,0,0,0.0
550.0,79.6471600688468,26.0,8,121,0.14347826086956522,1,0,1,0,1,0,0,0,0,0,0.0
450.0,-20.3528399311532,20.0,100,181,0.18888888888888888,1,1,0,0,0,0,0,0,0,0,0.0
420.0,-50.3528399311532,17.0,11,457,0.17878787878787877,1,0,1,0,0,0,0,0,0,0,0.0
350.0,-86.08648648648648,14.0,1,740,0.35000000000000003,0,0,1,0,0,0,0,0,0,0,0.0
